Brand Name,Model,Device Type,Supported Releases,_
"Beijing Wangxun Technology Co.,Ltd.","FF5040-DDBTAIXX","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","L56003P84T","NVMe","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","FF5025-DDATAIXX","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","FF5040-DDBTACXX","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","WX1860A4S","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","L56003P20T","NVMe","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","WX1860A2","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","WX1860AL2","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","RP1000 series","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","RP2000 series","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","FF5025-DDATACXX","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","L56006P40T","NVMe","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","L56007P68T","NVMe","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","WX1860A4","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","WX1860AL2S","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","L56001P92T","NVMe","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","WX1860AL4S","Network","ESXi 9.1"," "
"Beijing Wangxun Technology Co.,Ltd.","WX1860AL4","Network","ESXi 9.1"," "
"Broadcom","BCM57414","Network","ESXi 9.1"," "
"Broadcom","NetXtreme BCM5764M Gigabit Ethernet","Network","ESXi 9.1"," "
"Broadcom","NetXtreme E-Series Quad-port 10Gb SFP+ OCP 3.0 Ethernet Adapter","Network","ESXi 9.1"," "
"Broadcom","BCM57454","Network","ESXi 9.1"," "
"Broadcom","57454 NetXtreme-E Quad-port 25Gb Ethernet OCP Adapter","Network","ESXi 9.1"," "
"Broadcom","SAS 9500-8e","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","Broadcom BCM57608 1x400G QSFP-DD OCP Ethernet NIC","Network","ESXi 9.1"," "
"Broadcom","NetXtreme E-Series Single Port 100Gb OCP Ethernet Adapter","Network","ESXi 9.1"," "
"Broadcom","BCM57504","Network","ESXi 9.1"," "
"Broadcom","NetXtreme-S Ethernet Virtual Function","Network","ESXi 9.1","Restricted"
"Broadcom","BCM57412","Network","ESXi 9.1"," "
"Broadcom","SAS 9405W-16i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","eHBA 9600-16i Tri-Mode Storage Adapter","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","BCM57417 NetXtreme-E 10GBASE-T RDMA Ethernet Controller","Network","ESXi 9.1","Restricted"
"Broadcom","Megaraid SAS 9440-8i","SAS/SATA-RAID","ESXi 9.1"," "
"Broadcom","BCM57508","Network","ESXi 9.1"," "
"Broadcom","eHBA 9600-8i8e Tri-Mode Storage Adapter","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Broadcom","BCM57301","Network","ESXi 9.1"," "
"Broadcom","Megaraid 9540-8i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Broadcom","NetXtreme-E N410TDE BCM57416 4x10G BT OCP3.0 Ethernet","Network","ESXi 9.1"," "
"Broadcom","MegaRAID SAS 9480-8i8e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Broadcom","BCM57304","Network","ESXi 9.1"," "
"Broadcom","BCM57416","Network","ESXi 9.1"," "
"Broadcom","BCM57412","Network","ESXi 9.1"," "
"Broadcom","BCM57416 NetXtreme-E Partition","Network","ESXi 9.1","Restricted"
"Broadcom","BCM57412","Network","ESXi 9.1"," "
