Brand Name,Model,Type,Feature,Supported Releases
"Dell","HBA330/HBA330+","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Fujitsu","PRAID EP400i","Hybrid","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Fujitsu","PSAS CP2100-8i","All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Fujitsu","PSAS CP403i","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Fujitsu","PSAS CP503i","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE MR408i-o Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array E208i-c SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE MR416i-p Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array P408i-p SR Gen10","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Tri-Mode MR216i-p Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array P816i-a SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE SR416i-a Gen10 Plus Tri-mode Modular Controller","All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE SR416ie-m Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array P408i-c SR Gen10","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array P416ie-m SR G10","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array P204i-c SR Gen10","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Tri-Mode MR416i-p Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array E208i-a SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array E208i-p SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE MR216i-p Gen11","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hewlett Packard Enterprise","HPE Smart Array P408i-a SR Gen10","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
